idx,유저,챗봇
1,히팅 서포터 무릎용은 1개 구매하면 양 무릎용 2개가 오는 건가요 아니면 2개를 낱개로 사야 함?,수량을문의하신 상품은 2개로 구매해 주셔야 양쪽 무릎에 사용 가능해요.
2,더블 미니로 몇 개 구매하려고 보니 그 새 품절되었네요 재입고는 언제인가요?,상품은 재생산 일정이 아직은 정해지지 않아 입고 일을 말씀드릴수 없는 점 양해 부탁드려요.
3,발핫팩은 언제 구입할수 있나유?,상품은 재생산 일정이 아직은 정해지지 않아 입고 일을 말씀드릴수 없는 점 양해 부탁드려요.
4,배송 언제되는 건가요?,주문하신 상품 금일 정상 출고될 예정이에요.
5,이 거 너무 뜨거운데 혹시 주먼 속에 넣어두면 타지 않을까요?,핫팩의 제품 특성 자체가 정밀한 회로로 구성된 전자제품이 아니다라는 점을 양지해 주시길 바라며 화학반응으로 작동되는 건전지와 비슷하다고 보시면 될 것 같습니다.
6,,
7,배송 바로 되나용?,주문하신 제품은 금일 정상 출고되었어요. 대부분 익일배송이 완료되어 나 택배사의 사정에 의해 지연이 될수도 있어요.
8,미니 형 붙이는 건가요?,더블 미니 핫팩은 주머니 형 핫팩입니다.
9,배송사 어딘지요?,저희는 oooo를 이용하여 출고하고 있어요.
10,배송사가 어디인가요?,주문하신 제품은 oooo 택배를 통하여 금일 정상 출고되었어요.
11,파스형 중 하나를 구매한 건 중에 일반형으로 하나 바꿔서 보내주실수 있을까요?,주문하신 제품은요청하신 대로수정하여금 일정상 출고되었어요.
12,지금 구매하면 제조년은 17년이죠?,저희 ooo은 매년 새롭게 제조된 상품만 판매하고 있어요. 현재 출고되는 전 제품 2017년 8월 이후 제조된 신형 제품입니다.
13,,
14,내일 받고 싶은데 배송 마감 시간이 언제인가요?,평일 오후 2시 입금 확인 건까지 당일 배송이 원칙이며 당일 주문량에 따라 시간은 조정될수도 있어요.
15,혹한기용하고 일반용하고 주문 결제 따로 했는데 묶어서 빠른 배송 가능한가요?,주문하신 상품 묶음배송으로 발송 처리해드릴게요. 금일 발송될 예정이오니 참고 부탁드립니다.
16,군부대 사서함 배송 가능한가요?,저희는 oooo를 사용하고 있으며 전국 군부대로의 배송이 가능해요.
17,,
18,11월 6일 오후 1시40분 결제했습니다 금일 발송 가능한 지 궁금해요?,주문하신 상품 금일 정상 출고될 예정이에요.
19,,
20,발핫팩은 입고 안 되나요?,발 핫팩은 현재 생산 중에 있으며 11월 중순에 출시될 예정이에요.
21,4번 총 40개인 거죠?,ooo 더블 미니형 핫팩은 2PCS 20매총 40PCS 입니다.
22,최근에 생산된 거죠?,현재 출고되는 제품은 2017년 8월 이후 새롭게 생산되어진 신제품으로만 출고되고 있어요.
23,흔들지 않고 포장을 뜯으면 바로 발열이 시작되는 제품인가요?,우선 핫팩의 발열 원리에 대해 말씀드리자면 밀봉되어진 외부 봉투를 개봉하면서 부직포 내의 철 성분이 공기 중의 산소와 결합하여 일어나는 산화반응을 통해 발열이 되어집니다.
24,발핫팩은 언제 재입고되나요?,ooo 곰도리 발난로 핫팩은 11월 중순 출시 예정이에요.
25,핫팩 유통기한은 언제까지 인가요?,저희 ooo은 언제나 매해 새롭게 제조된 제품만 출고해오고 있어요. 이월상품을 단 한 번 도 전년도 출고한 적이 없얻요.
26,넥워머 2성인용 챠콜은 언제 들어오나요?,상품은 생산분이 모두소진되어 재입고는 예정이 없으니 양해 부탁드려요.
27,,
28,무릎 보호대는 한 세트가 하나예요?,무릎 보호대는 1개를 구매하시면 한쪽 무릎에만 사용하실수 있으며 양쪽으로 사용하실 경우 2개로 구매해 주셔야 합니다.
29,다음 주수요일까지 배송 가능할까요?,주문하신 제품은 금일 정상 출고 예정이에요. 오늘도 좋은 하루 되세요.
30,군인 아들에게 보낼려고 하는데 어떤 제품을 보내야 함?,핫팩의 지속시간과 크기에 따라 사용하시는 용도에 맞게 핫팩을 선택해주시면 좋을 듯합니다.
